1629473323, 73.6
1629473324, 67.8
1629473325, 40.2
1629473326, 62.6
1629473327, 76.2
1629473328, 45.6
1629473330, 67.1
1629473331, 61.2
1629473332, 53.4
1629473334, 70.3
1629473335, 55.7
1629473336, 42.8
1629473338, 59.9
1629473339, 50.8
1629473340, 40.8
1629473341, 39.4
1629473342, 73.2
1629473343, 74.6
1629473344, 72.5
1629473345, 70.2
1629473346, 71.9
1629473347, 73.0
1629473348, 39.5
1629473349, 39.3
1629473350, 39.2
1629473352, 53.3
1629473353, 48.7
1629473354, 39.2
1629473355, 39.1
1629473356, 53.1
1629473357, 60.5
1629473358, 52.3
1629473359, 74.2
1629473360, 39.8
1629473361, 56.1
1629473362, 63.2
1629473363, 52.2
1629473364, 68.9
1629473365, 62.2
1629473366, 48.9
1629473367, 39.2
1629473368, 46.5
1629473369, 47.8
1629473370, 39.1
1629473371, 58.4
1629473372, 63.1
1629473374, 49.9
1629473375, 56.9
1629473376, 49.2
1629473377, 62.9
1629473378, 70.2
1629473379, 67.0
1629473380, 62.8
1629473381, 71.8
1629473382, 72.2
1629473383, 48.8
1629473384, 42.8
1629473385, 66.9
1629473386, 62.8
1629473388, 60.2
1629473389, 72.6
1629473390, 68.0
1629473391, 69.2
1629473392, 70.2
1629473393, 75.7
1629473394, 59.1
1629473395, 71.2
1629473396, 70.9
1629473397, 73.5
1629473398, 64.3
1629473399, 47.6
1629473400, 70.0
1629473401, 73.5
1629473402, 47.9
1629473403, 73.2
1629473404, 69.1
1629473405, 63.2
1629473406, 41.4
1629473407, 39.2
1629473408, 59.2
1629473410, 64.9
1629473411, 60.8
1629473412, 38.5
1629473413, 62.2
1629473414, 39.5
1629473415, 38.4
1629473416, 38.5
1629473417, 38.5
1629473418, 38.6
1629473419, 79.5
1629473420, 75.1
1629473421, 74.0
1629473423, 41.8
1629473425, 38.7
1629473425, 55.7
1629473426, 68.6
1629473427, 56.5
1629473429, 38.5
1629473430, 38.6
1629473431, 38.7
1629473432, 70.4
1629473433, 68.5
1629473434, 40.9
1629473435, 53.8
1629473436, 38.8
1629473437, 44.3
1629473438, 56.1
1629473439, 55.0
1629473440, 48.2
1629473441, 41.2
1629473443, 39.8
1629473444, 38.5
1629473445, 38.6
1629473446, 58.1
1629473447, 60.8
1629473448, 48.4
1629473449, 38.8
1629473451, 38.7
1629473452, 39.4
1629473453, 38.6
1629473454, 38.5
1629473455, 38.5
1629473456, 53.5
1629473457, 62.8
1629473458, 52.2
1629473459, 38.9
1629473460, 38.7
1629473461, 39.2
1629473462, 40.9
1629473464, 38.8
1629473465, 53.5
1629473466, 68.9
1629473467, 69.9
1629473468, 64.2
1629473469, 69.1
1629473470, 65.5
1629473471, 39.6
1629473472, 53.2
1629473473, 64.1
1629473474, 65.0
1629473475, 49.1
1629473476, 63.7
1629473478, 40.2
1629473479, 39.4
1629473480, 51.7
1629473481, 44.0
1629473482, 60.2
1629473483, 39.2
1629473484, 42.9
1629473485, 62.0
1629473486, 68.5
1629473487, 70.1
1629473488, 68.1
1629473489, 69.1
1629473490, 73.3
1629473491, 61.1
1629473492, 64.2
1629473493, 69.2
1629473494, 71.8
1629473495, 53.1
1629473496, 51.6
1629473497, 67.8
1629473499, 65.2
1629473500, 63.2
1629473501, 68.2
1629473502, 66.3
1629473503, 69.7
1629473504, 70.8
1629473505, 48.9
1629473507, 69.7
1629473508, 69.8
1629473509, 68.5
1629473510, 41.6
1629473511, 67.2
1629473512, 49.4
1629473513, 38.9
1629473514, 38.9
1629473515, 38.9
1629473516, 43.9
1629473517, 42.8
1629473518, 40.4
1629473519, 38.9
1629473520, 44.9
